# timestamp, seqNum, imgType, camDevName, exposureTime(s), pathToImage
0.3 1 rgb cam0 0 /rgb/cam0/1.png
0.3 1 rgb cam1 0 /rgb/cam1/1.png
0.3 1 depth cam0 0 /depth/cam0/1.exr
0.3 1 depth cam1 0 /depth/cam1/1.exr
0.3 1 normal cam0 0 /normal/cam0/1.png
0.3 1 normal cam1 0 /normal/cam1/1.png
0.3 1 blur cam0 0.15 /blurred/cam0/1.png
0.3 1 blur cam1 0.15 /blurred/cam1/1.png
0.6 2 rgb cam0 0 /rgb/cam0/2.png
0.6 2 rgb cam1 0 /rgb/cam1/2.png
0.6 2 depth cam0 0 /depth/cam0/2.exr
0.6 2 depth cam1 0 /depth/cam1/2.exr
0.6 2 normal cam0 0 /normal/cam0/2.png
0.6 2 normal cam1 0 /normal/cam1/2.png
0.6 2 blur cam0 0.15 /blurred/cam0/2.png
0.6 2 blur cam1 0.15 /blurred/cam1/2.png
0.899 3 rgb cam0 0 /rgb/cam0/3.png
0.899 3 rgb cam1 0 /rgb/cam1/3.png
0.899 3 depth cam0 0 /depth/cam0/3.exr
0.899 3 depth cam1 0 /depth/cam1/3.exr
0.899 3 normal cam0 0 /normal/cam0/3.png
0.899 3 normal cam1 0 /normal/cam1/3.png
0.899 3 blur cam0 0.15 /blurred/cam0/3.png
0.899 3 blur cam1 0.15 /blurred/cam1/3.png
1.199 4 rgb cam0 0 /rgb/cam0/4.png
1.199 4 rgb cam1 0 /rgb/cam1/4.png
1.199 4 depth cam0 0 /depth/cam0/4.exr
1.199 4 depth cam1 0 /depth/cam1/4.exr
1.199 4 normal cam0 0 /normal/cam0/4.png
1.199 4 normal cam1 0 /normal/cam1/4.png
1.199 4 blur cam0 0.15 /blurred/cam0/4.png
1.199 4 blur cam1 0.15 /blurred/cam1/4.png
1.499 5 rgb cam0 0 /rgb/cam0/5.png
1.499 5 rgb cam1 0 /rgb/cam1/5.png
1.499 5 depth cam0 0 /depth/cam0/5.exr
1.499 5 depth cam1 0 /depth/cam1/5.exr
1.499 5 normal cam0 0 /normal/cam0/5.png
1.499 5 normal cam1 0 /normal/cam1/5.png
1.499 5 blur cam0 0.15 /blurred/cam0/5.png
1.499 5 blur cam1 0.15 /blurred/cam1/5.png
1.799 6 rgb cam0 0 /rgb/cam0/6.png
1.799 6 rgb cam1 0 /rgb/cam1/6.png
1.799 6 depth cam0 0 /depth/cam0/6.exr
1.799 6 depth cam1 0 /depth/cam1/6.exr
1.799 6 normal cam0 0 /normal/cam0/6.png
1.799 6 normal cam1 0 /normal/cam1/6.png
1.799 6 blur cam0 0.15 /blurred/cam0/6.png
1.799 6 blur cam1 0.15 /blurred/cam1/6.png
2.099 7 rgb cam0 0 /rgb/cam0/7.png
2.099 7 rgb cam1 0 /rgb/cam1/7.png
2.099 7 depth cam0 0 /depth/cam0/7.exr
2.099 7 depth cam1 0 /depth/cam1/7.exr
2.099 7 normal cam0 0 /normal/cam0/7.png
2.099 7 normal cam1 0 /normal/cam1/7.png
2.099 7 blur cam0 0.15 /blurred/cam0/7.png
2.099 7 blur cam1 0.15 /blurred/cam1/7.png
2.399 8 rgb cam0 0 /rgb/cam0/8.png
2.399 8 rgb cam1 0 /rgb/cam1/8.png
2.399 8 depth cam0 0 /depth/cam0/8.exr
2.399 8 depth cam1 0 /depth/cam1/8.exr
2.399 8 normal cam0 0 /normal/cam0/8.png
2.399 8 normal cam1 0 /normal/cam1/8.png
2.399 8 blur cam0 0.15 /blurred/cam0/8.png
2.399 8 blur cam1 0.15 /blurred/cam1/8.png
2.699 9 rgb cam0 0 /rgb/cam0/9.png
2.699 9 rgb cam1 0 /rgb/cam1/9.png
2.699 9 depth cam0 0 /depth/cam0/9.exr
2.699 9 depth cam1 0 /depth/cam1/9.exr
2.699 9 normal cam0 0 /normal/cam0/9.png
2.699 9 normal cam1 0 /normal/cam1/9.png
2.699 9 blur cam0 0.15 /blurred/cam0/9.png
2.699 9 blur cam1 0.15 /blurred/cam1/9.png
2.999 10 rgb cam0 0 /rgb/cam0/10.png
2.999 10 rgb cam1 0 /rgb/cam1/10.png
2.999 10 depth cam0 0 /depth/cam0/10.exr
2.999 10 depth cam1 0 /depth/cam1/10.exr
2.999 10 normal cam0 0 /normal/cam0/10.png
2.999 10 normal cam1 0 /normal/cam1/10.png
2.999 10 blur cam0 0.15 /blurred/cam0/10.png
2.999 10 blur cam1 0.15 /blurred/cam1/10.png
